Time,Tree,Shoot,Length,Width,Area,
EARLY,5,SC,184,42,57.4,
EARLY,5,SC,193,41,59.9,
EARLY,5,SC,100,19,18.1,
EARLY,5,SC,52,11,4.4,
EARLY,5,SC,185,38,55,
EARLY,5,SC,247,44,83.9,
EARLY,5,SC,250,43,74,
EARLY,5,SC,330,50,113.9,
EARLY,5,SC,335,57,135.6,
EARLY,5,SC,298,50,104.1,
EARLY,10,SC,305,42,85.4,
EARLY,10,SC,145,37,39.1,
EARLY,10,SC,178,52,73.6,
EARLY,10,SC,228,56,92,
EARLY,10,SC,313,44,87.7,
EARLY,10,SC,270,48,84.9,
EARLY,10,SC,271,48,77.7,
EARLY,10,SC,135,32,32.6,
EARLY,10,SC,182,53,77.3,
EARLY,10,SC,203,43,61.4,
EARLY,10,SC,209,44,63.4,
EARLY,10,SC,205,50,71.9,
EARLY,10,SC,240,43,72.6,
EARLY,10,SC,173,50,66,
EARLY,10,SC,137,35,34.9,
EARLY,10,SC,157,35,40.8,
EARLY,10,SC,245,40,67,
EARLY,10,SC,230,54,82.4,
EARLY,10,SC,185,57,81.1,
EARLY,10,SC,220,45,72.9,
EARLY,10,SC,119,31,34.2,
EARLY,10,SC,223,47,75.4,
EARLY,10,SC,210,42,53.1,
EARLY,10,SC,111,49,46.5,
EARLY,10,SC,227,53,85.4,
EARLY,10,BC,74,22,15.5,
EARLY,10,BC,165,38,47.3,
EARLY,10,BC,188,36,46.2,
EARLY,10,BC,135,49,54,
EARLY,10,BC,194,38,28.1,
EARLY,10,BC,171,47,50.9,
EARLY,10,BC,132,55,55.4,
EARLY,10,BC,108,22,17.9,
EARLY,10,BC,65,21,10.6,
EARLY,10,BC,145,42,52.2,
EARLY,10,BC,162,37,43.1,
EARLY,10,BC,137,50,55.2,
EARLY,10,BC,181,32,41.7,
EARLY,10,BC,138,42,40.7,
EARLY,10,BC,147,60,67.5,
EARLY,10,BC,130,34,29.3,
EARLY,10,BC,131,35,31.6,
EARLY,10,BC,144,24,24.3,
EARLY,10,BC,83,31,20.9,
EARLY,10,BC,153,38,44.9,
EARLY,10,BC,150,41,47.6,
EARLY,10,BC,170,44,49.7,
EARLY,10,BC,115,21,16.7,
EARLY,10,BC,174,41,54.7,
EARLY,10,BC,160,29,30.3,
